TransitionComputerCode,RouteString
DIVYD2 BOY,DIVYD BOY
DIVYD2 DNW,DIVYD DNW
DIVYD2 HUKET,DIVYD HUKET
DIVYD2 JEDHY,DIVYD JEDHY
DOCTR5 AGARD,DOCTR AGARD
DOCTR5 DQO,DOCTR DQO
DOOKK3 CME,DOOKK DADDY LARLE TACOZ CME
DOOKK3 MOLVE,DOOKK FATTT MOLVE
DOOKK3 TXO,DOOKK FATTT MOLVE TXO
DORMR3 CIGAR,DORMR PSTOL CIGAR
DORMR3 FROOT,DORMR PSTOL FROOT
DORRL2 MATLK,DORRL BENNS FUNNR MATLK
DORRL2 ONEWY,DORRL BENNS FUNNR ONEWY
DOTSS2 CLEEE,DOTSS EYEDL HOMER CLEEE
DOTSS2 CNERY,DOTSS WIILD BLCKD CSTWY CNERY
DRRLL4 DRRLL,GRZLE DRRLL
DRURY3 ACKEE,DRURY ACKEE
DRURY3 HAGIE,DRURY HAGIE
DRURY3 JALAR,DRURY JALAR
DRUSE5 DENNI,DRUSE PLESS DENNI
DRUSE5 BNA,DRUSE PLESS DENNI TINGS LAJUG BNA
DUCKZ5 HELAR,DUCKZ HELAR
DUKPN1 AJGON,DUKPN WINNY PLOOP AGARD DONIL AJGON
DUKPN1 BROSS,DUKPN SWANN HIFLY BROSS
DUKPN1 BYEDN,DUKPN SWANN KERNO ODESA BYEDN
DUKPN1 DONIL,DUKPN WINNY PLOOP AGARD SPEAK DONIL
DUKPN1 RADAM,DUKPN WINNY PLOOP AGARD SPEAK DONIL RADAM
DUKPN1 SPEAK,DUKPN WINNY PLOOP AGARD SPEAK
DUKPN1 SWANN,DUKPN SWANN
ECHHO2 IKAYE,ECHHO GOFUR MMOTO TEDEY GEEGN IKAYE
ECHHO2 SLI,ECHHO GOFUR MMOTO SLI
ECHOO1 DUUZE,ECHOO EPKEE POIZN COTNN DUUZE
ECHOO1 SHAYK,ECHOO EXTAN SHAYK
ECHOO1 WYNDM,ECHOO EEONS WYNDM
ECHOO1 ZIRKL,ECHOO EMMYS ZIRKL
ECLPS1 PHASE,KATMN BOXXR PHASE
EEMOS5 NEENS,EEMOS NEENS
EEVAA1 SHIPR,EEVAA CHALI SHIPR
ELB5 IPL,ELB MANBY MISIE ZENAP JARDO BONDO WODON GWIRE IPL
ELB5 OCN,ELB SUBMR OCN
ELB5 TRM,ELB MANBY MISIE ZENAP PUNIE TEYKI HAPPE BALDI CORLA TRM
ELANR7 EMEGE,ELANR EMMLY ETAME EMEGE
ELANR7 EMMLY,ELANR EMMLY
ELANR7 ERECO,ELANR EMMLY ERECO
ELMAA5 HQM,ELMAA HQM
ELOCO6 LLA,CHPEE GRIPY YOKEM SBI LLA
ELOEL3 ABI,ELOEL FORSS ABI
ELOEL3 FORSS,ELOEL FORSS
ELOEL3 KLNGR,ELOEL KLNGR
ELVIS4 EFOUR,MEM EFOUR
ELVIS4 EONEE,MEM EONEE
ELVIS4 ETREE,MEM ETREE
ELVIS4 ETWOO,MEM ETWOO
ELVIS4 NFIVE,MEM NFIVE
ELVIS4 NFOUR,MEM NFOUR
ELVIS4 NRONE,MEM NRONE
ELVIS4 NTREE,MEM NTREE
ELVIS4 NTWOO,MEM NTWOO
ELVIS4 SFOUR,MEM SFOUR
ELVIS4 SONEI,MEM SONEI
ELVIS4 STREE,MEM STREE
ELVIS4 STWOO,MEM STWOO
ELVIS4 WFIVE,MEM WFIVE
ELVIS4 WFOUR,MEM WFOUR
ELVIS4 WONEE,MEM WONEE
ELVIS4 WTREE,MEM WTREE
ELVIS4 WTWOO,MEM WTWOO
EMMTT4 BDDAY,EMMTT THHOR JJANE MRSSH BDDAY
EMMTT4 BSKAT,EMMTT ZERLU SWDIA ZACHH BSKAT
EMMTT4 FORCK,EMMTT HANUH LYING FORCK
EMMTT4 LOOSE,EMMTT TRRCH JAYXX TRYTN LOOSE
EMMTT4 MRSSH,EMMTT THHOR JJANE MRSSH
EMMTT4 ZALEA,EMMTT THHOR JJANE MRSSH ZALEA
EPKEE7 DUUZE,POIZN COTNN DUUZE
EPKEE7 GAETR,POIZN GAETR
ESNYE7 ADM,ESNYE LANEE LOWGN ADM
ESNYE7 BLECO,ESNYE LANEE BLECO
ESNYE7 EAKER,ESNYE GRABE EAKER
ESNYE7 GRABE,ESNYE GRABE
ESNYE7 MLC,ESNYE AKUNA TIKYS MLC
ESNYE7 OKM,ESNYE GRABE EAKER OKM
ESNYE7 ROLLS,ESNYE LANEE LOWGN ADM MRMAC ROLLS
ESNYE7 TIKYS,ESNYE AKUNA TIKYS
ESNYE7 TUL,ESNYE LANEE BLECO ZEMMA TUL
ESNYE7 IRW,ESNYE LANEE BLECO ZEMMA IRW
ESNYE7 ZEMMA,ESNYE BLECO ZEMMA
ESTRR5 IPTAY,ESTRR DEBIE IPTAY
EXBOX2 OMN,EXBOX OMN
EXTVE1 ALD,PLFMD ALD
EXTVE1 IRQ,PLFMD FIBRO IRQ
EXTVE1 DBN,PLFMD DBN
FFU9 BCE,FFU LODUY URNUW BCE
