TransitionComputerCode,RouteString
THHMP CAVLR6,THHMP JROBB BNTLY
TRSSK CAVLR6,TRSSK PERKN KHOOD BNTLY
EEEZY BOEGY2,EEEZY PAHRR BOEGY
SHAYM BOEGY2,SHAYM PAHRR BOEGY
TOADD BOEGY2,TOADD BOEGY
SSKEE WYLND1,SSKEE BOEGY
TOADD WYLND1,TOADD BOEGY
BUGGA BOGET2,BUGGA JOEES DNUTT JOHHN BASAL DYVER CHKNZ KOPLE ROPEZ BOGET
KREME BOGET2,KREME DNUTT JOHHN BASAL DYVER CHKNZ KOPLE ROPEZ BOGET
EED BOGET2,EED COOOP TAAAP JOEES DNUTT JOHHN BASAL DYVER CHKNZ KOPLE ROPEZ BOGET
PURSE BOGET2,PURSE NIPIY KREME DNUTT JOHHN BASAL DYVER CHKNZ KOPLE ROPEZ BOGET
WELUM BOGET2,WELUM NIPIY KREME DNUTT JOHHN BASAL DYVER CHKNZ KOPLE ROPEZ BOGET
WNCHL BOGET2,WNCHL GLAZD SNTRA COWWS KOPLE ROPEZ BOGET
KEEPS BOKRT3,KEEPS BOKRT
JAMOX BONZZ2,JAMOX BOBCT SSAID EEEZI HUMRR BONZZ
KOZAR BONZZ2,KOZAR EEEZI HUMRR BONZZ
JAMOX KLYNK3,JAMOX BOBCT SSAID EEEZI HUMRR BONZZ
KOZAR KLYNK3,KOZAR EEEZI HUMRR BONZZ
CANON BOOKE8,CANON SOK BOOKE
DANNO BOOKE8,DANNO LIH BOOKE
SYVAD BOOKE8,SYVAD PUPPI SOK BOOKE
THOMA BOOKE8,THOMA LIH BOOKE
MEM BOOSH3,MEM CGI DLITE FATSS BOOSH
BNA BOOSH3,BNA CGI DLITE FATSS BOOSH
PXV BOOSH3,PXV FFOXX SAYDI MOPOE BIDWL BOOSH
VISQA BOOSH3,VISQA SCRCH CGI DLITE FATSS BOOSH
ARG BOOSH3,ARG CGI DLITE FATSS BOOSH
GEEKY BOOVE7,GEEKY SNGGL NNJUH GIBLT DARRB BOOVE
GUTZZ BOOVE7,GUTZZ EGADS FDUBB KIILO KYSSS BOOVE
KIILO BOOVE7,KIILO KYSSS BOOVE
SNGGL BOOVE7,SNGGL NNJUH GIBLT DARRB BOOVE
GEEKY SHMPP3,GEEKY SNGGL NNJUH GIBLT DARRB BOOVE
GUTZZ SHMPP3,GUTZZ EGADS FDUBB KIILO KYSSS BOOVE
KIILO SHMPP3,KIILO KYSSS BOOVE
SNGGL SHMPP3,SNGGL NNJUH GIBLT DARRB BOOVE
GEEKY SOCKK4,GEEKY SNGGL NNJUH DARRB GRCIA BOOVE
GUTZZ SOCKK4,GUTZZ WERMO EGADS KIILO KYSSS BOOVE
KIILO SOCKK4,KIILO KYSSS BOOVE
SNGGL SOCKK4,SNGGL NNJUH DARRB GRCIA BOOVE
