NavId,Lat,Lon
GFK,47.95483336,-97.18537044
GFS,35.13114527,-115.17644027
GGF,40.87094055,-101.73045
GGG,32.41775586,-94.7531945
GGT,42.78895583,-75.82674722
GGW,48.21530436,-106.62541916
GHJ,35.19147088,-81.15785552
GHM,35.83394197,-87.45180066
GIJ,41.76861125,-86.31845188
GKN,62.15375305,-145.44736494
GL,45.01465197,-84.80796494
GLD,39.38786783,-101.69229655
GLH,33.52353083,-90.9829375
GLJ,34.95237352,-120.52148088
GLL,40.50386561,-104.55301322
GLR,45.01248583,-84.70427872
GM,34.78016758,-82.3497875
GM,34.33729627,-77.81178238
GMA,44.36234363,-71.6859055
GMN,34.80402861,-118.86136027
GNL,31.58147663,-96.54908936
GNP,35.92090033,-95.96865141
GNV,29.69211469,-82.27297244
GOG,35.89425,-115.49608333
GOI,37.95873925,-85.97667113
GON,41.33040205,-72.05198461
GON,41.325,-72.05055555
GP,30.48561888,-89.16231594
GPQ,33.565759,-85.13097775
GPT,30.40683133,-89.07678122
GPZ,47.16344363,-93.4889325
GQE,35.34702972,-90.47815888
GQO,34.96127361,-85.15336902
GR,42.89564205,-85.37864311
GR,44.44047108,-88.23951983
GRB,44.55516002,-88.19485719
GRD,34.25156611,-82.15414888
GRI,40.98402777,-98.31477777
GRK,31.03288647,-97.81379102
GRN,42.80108213,-102.179394
GRO,14.17161522,145.239999
GRV,39.63506666,-79.05056666
GSB,35.33519805,-77.97131716
GSH,41.52515516,-86.02795322
GSO,36.045693,-79.976371
GSU,33.63356388,-84.41218888
GTF,47.44998008,-111.41216475
GTH,33.77827722,-100.33619638
GTK,21.44065822,-71.13436616
GTN,38.92989919,-77.12421577
GTP,30.95755522,-83.82667147
GUP,35.47600072,-108.87261452
GUS,40.64490555,-86.15171388
GUY,36.70536619,-101.50509519
GVB,30.88161366,-89.86211736
GVE,38.01359938,-78.15302658
GVO,34.53132016,-120.09108827
GVR,38.75833888,-85.47064444
GW,41.30828633,-84.94408136
GXU,40.009475,-74.59651111
GYG,44.74995713,-84.8282205
GYZ,42.23992236,-104.71428261
GZG,36.82510116,-82.07897425
HAB,34.19876963,-88.01161836
HAH,31.6903025,-91.29310008
HAR,40.30223972,-77.06955888
HAU,46.56890016,-111.75806372
HB,35.97811866,-79.58484094
HBR,34.86655447,-99.06338497
HBT,55.31566647,-160.51839427
HBU,38.45211641,-107.03971411
HCH,35.78101305,-84.97845222
HCM,37.44865988,-76.71135391
HCT,40.45406083,-100.92357333
HDF,33.77632975,-117.18532438
HEC,34.79701791,-116.46292202
HEM,35.98799458,-85.58629616
HET,35.40454638,-96.01388833
HEU,42.8541773,-73.93348972
HEY,31.37413611,-85.65277777
HEZ,31.61817822,-91.29964541
HFD,41.64110469,-72.547418
HFD,41.73493333,-72.65143055
HGO,38.8175,-103.62138888
HGR,39.69772661,-77.85571811
HGT,35.96116666,-121.18916666
HHH,29.13832363,-98.9392615
HHM,66.90126397,-162.56438238
HIA,45.86178761,-112.16960852
HIB,47.3015313,-92.70404316
HIF,41.12050277,-111.96368055
HIN,42.82883472,-103.09374386
HIO,45.54055555,-122.94861111
HK,35.78652377,-81.30530725
HKY,35.7420038,-81.38967572
HLC,39.25874666,-100.22585027
HLE,43.32977886,-114.2436898
HLG,40.2599018,-80.56862483
HLI,34.77024541,-89.49651891
HLN,46.60682138,-111.95347516
HLV,39.11354083,-92.12823388
HML,48.86918533,-97.11790219
HMN,32.86210388,-106.10912166
HMV,36.43705555,-82.1296
HN,21.32470933,-158.04899961
HNK,42.06305694,-75.31628444
HNL,21.30832169,-157.93041113
HNL,21.31866972,-157.93038483
HNN,38.75412463,-82.02616761
HNW,38.72472547,-120.74926341
HO,34.42255691,-93.18967619
HO,44.44386933,-98.33678772
HOB,32.63823761,-103.26929894
HOM,59.70942916,-151.45659894
HON,44.44008333,-98.31108475
HOT,34.47859511,-93.09061083
HOU,29.64514722,-95.27868611
HP,30.60635052,-90.42117072
HPB,61.51434738,-166.13448055
HPC,33.7181163,-93.6507918
HPW,37.32887,-77.11594361
HQM,46.94704041,-124.14926888
HQT,35.43300722,-78.674776
HRK,42.76216697,-87.81472186
HRL,26.22922547,-97.65226427
HRO,36.31830797,-93.21327158
HRS,34.94299769,-83.91567363
HRT,30.42803391,-86.69029583
HRU,38.69265905,-96.8110345
HRV,29.85019472,-90.00298416
HS,30.45134488,-89.45551283
HSI,40.60453719,-98.42961752
HSL,65.70787619,-156.36308652
HST,25.48997961,-80.37941336
HTO,40.91899572,-72.31670436
HU,38.12361886,-97.92688413
HU,39.38781766,-87.39772322
HUH,48.94528686,-122.57925472
HUL,46.03949386,-67.83414
HUO,41.40968661,-74.59159425
HUP,31.56870166,-105.37631861
HUT,37.99691897,-97.93415138
HUW,36.87138402,-91.89999175
HVE,38.41680833,-110.69974061
HVN,41.26231288,-72.88519019
HVQ,38.349676,-81.76991455
HVR,48.54046161,-109.769987
HVS,34.40653044,-80.11977552
HW,39.35344241,-83.87579225
HXO,36.30122177,-78.61851002
HXW,36.65930361,-87.51113583
HY,38.76922825,-99.25128075
HYK,37.96634941,-84.47252769
HYP,37.21943255,-120.40021836
HYR,46.01900694,-91.44639572
HYS,38.84765663,-99.27679108
HZN,39.51640008,-118.99768658
IA,43.10911077,-78.8382995
IAB,37.62185255,-97.26819247
IAG,43.1125455,-78.96023952
IAH,29.95691702,-95.34571902
IC,37.57816341,-97.45581461
ICT,37.74525719,-97.58382833
ICT,37.63703527,-97.43375997
ICW,64.5456913,-149.07687688
IDA,43.51900525,-112.06391694
IDJ,47.50770677,-94.92330891
IDQ,46.06547222,-116.46475
IDU,29.95561111,-96.56197222
IFI,35.80526611,-98.00391527
IGB,33.4854873,-88.51359002
IGM,35.26051327,-113.93408141
IGN,41.66545161,-73.82223925
IHD,39.97424166,-79.3583675
IHS,38.6785138,-104.75320227
IIP,42.6761018,-105.22622433
IIU,38.10346438,-85.57743658
IJX,39.77652102,-90.23860527
IK,41.01782488,-87.90376841
IKK,41.0743785,-87.85016341
IL,31.02409525,-97.70812358
IL,39.58126152,-75.61394222
IL,34.19136627,-77.86631266
IL,39.49303261,-83.73818113
ILA,39.07117363,-122.02726975
ILC,38.25019277,-114.39422638
ILI,59.74807711,-154.90963925
ILM,34.35164822,-77.87438038
ILR,43.59312258,-118.95504925
IM,35.53286558,-82.58744038
IMB,44.64839166,-119.71163138
IMP,30.26405527,-103.23711944
IMT,45.81604369,-88.11213636
IND,39.73254444,-86.30804722
INK,31.87476336,-103.24377722
INL,48.56579833,-93.40567777
INS,36.58499761,-115.6703313
INW,35.06159977,-110.79501961
IOW,41.51896019,-91.61325252
IPL,32.74886661,-115.50858202
IRK,40.13501772,-92.59171463
IRQ,33.70735333,-82.16206444
IRS,41.8131435,-85.43378513
IRW,35.35859655,-97.60922822
IS,35.24387572,-77.69838838
IS,40.72902211,-73.19023211
ISN,48.25341347,-103.75066063
ISO,35.37094752,-77.55831522
ISP,40.78951266,-73.10241066
ISQ,45.97633505,-86.1734363
ITH,42.49502661,-76.45972688
ITO,19.72135055,-155.01095416
ITR,39.24624672,-102.28384516
IWA,33.30316938,-111.65143538
IWD,46.53225625,-90.12585019
JA,30.46504247,-81.80164788
JAC,43.6210375,-110.73168527
JAN,32.31042222,-90.06536388
JB,34.54581938,-79.13851352
JBR,35.87491591,-90.58850372
JCT,30.59802113,-99.817481
JD,38.47800425,-89.73796352
JE,38.54804769,-92.07164891
JEF,38.59669444,-92.16746666
JEN,32.15958888,-97.87768055
JFK,40.63288377,-73.77139175
JFN,41.76011711,-80.74811116
JH,32.41304811,-90.26137886
JHW,42.18860694,-79.12130763
JJH,42.9994183,-74.33143833
JL,37.20306577,-94.55856716
JLI,33.14045861,-116.58593472
JMS,46.93287163,-98.67876963
